date,year,month,month_name,category,turnover_m
1989-04-01,1989,4,Apr,"Cafes, restaurants and takeaway food services",693.9
1989-05-01,1989,5,May,"Cafes, restaurants and takeaway food services",710.0
1989-06-01,1989,6,Jun,"Cafes, restaurants and takeaway food services",721.7
1989-07-01,1989,7,Jul,"Cafes, restaurants and takeaway food services",741.3
1989-08-01,1989,8,Aug,"Cafes, restaurants and takeaway food services",745.5
1989-09-01,1989,9,Sep,"Cafes, restaurants and takeaway food services",766.9
1989-10-01,1989,10,Oct,"Cafes, restaurants and takeaway food services",793.7
1989-11-01,1989,11,Nov,"Cafes, restaurants and takeaway food services",807.5
1989-12-01,1989,12,Dec,"Cafes, restaurants and takeaway food services",942.7
1990-01-01,1990,1,Jan,"Cafes, restaurants and takeaway food services",857.5
1990-02-01,1990,2,Feb,"Cafes, restaurants and takeaway food services",764.4
1990-03-01,1990,3,Mar,"Cafes, restaurants and takeaway food services",840.3
1990-04-01,1990,4,Apr,"Cafes, restaurants and takeaway food services",804.6
1990-05-01,1990,5,May,"Cafes, restaurants and takeaway food services",808.9
1990-06-01,1990,6,Jun,"Cafes, restaurants and takeaway food services",799.0
1990-07-01,1990,7,Jul,"Cafes, restaurants and takeaway food services",815.0
1990-08-01,1990,8,Aug,"Cafes, restaurants and takeaway food services",828.0
1990-09-01,1990,9,Sep,"Cafes, restaurants and takeaway food services",812.4
1990-10-01,1990,10,Oct,"Cafes, restaurants and takeaway food services",833.0
1990-11-01,1990,11,Nov,"Cafes, restaurants and takeaway food services",851.5
1990-12-01,1990,12,Dec,"Cafes, restaurants and takeaway food services",945.7
1991-01-01,1991,1,Jan,"Cafes, restaurants and takeaway food services",861.7
1991-02-01,1991,2,Feb,"Cafes, restaurants and takeaway food services",771.1
1991-03-01,1991,3,Mar,"Cafes, restaurants and takeaway food services",813.3
1991-04-01,1991,4,Apr,"Cafes, restaurants and takeaway food services",797.4
1991-05-01,1991,5,May,"Cafes, restaurants and takeaway food services",820.6
1991-06-01,1991,6,Jun,"Cafes, restaurants and takeaway food services",801.3
1991-07-01,1991,7,Jul,"Cafes, restaurants and takeaway food services",829.4
1991-08-01,1991,8,Aug,"Cafes, restaurants and takeaway food services",853.5
1991-09-01,1991,9,Sep,"Cafes, restaurants and takeaway food services",882.0
1991-10-01,1991,10,Oct,"Cafes, restaurants and takeaway food services",938.9
1991-11-01,1991,11,Nov,"Cafes, restaurants and takeaway food services",953.8
1991-12-01,1991,12,Dec,"Cafes, restaurants and takeaway food services",1048.3
1992-01-01,1992,1,Jan,"Cafes, restaurants and takeaway food services",938.3
1992-02-01,1992,2,Feb,"Cafes, restaurants and takeaway food services",861.5
1992-03-01,1992,3,Mar,"Cafes, restaurants and takeaway food services",936.1
1992-04-01,1992,4,Apr,"Cafes, restaurants and takeaway food services",932.0
1992-05-01,1992,5,May,"Cafes, restaurants and takeaway food services",929.4
1992-06-01,1992,6,Jun,"Cafes, restaurants and takeaway food services",868.5
1992-07-01,1992,7,Jul,"Cafes, restaurants and takeaway food services",891.3
1992-08-01,1992,8,Aug,"Cafes, restaurants and takeaway food services",875.5
1992-09-01,1992,9,Sep,"Cafes, restaurants and takeaway food services",914.1
1992-10-01,1992,10,Oct,"Cafes, restaurants and takeaway food services",935.7
1992-11-01,1992,11,Nov,"Cafes, restaurants and takeaway food services",931.8
1992-12-01,1992,12,Dec,"Cafes, restaurants and takeaway food services",1045.8
1993-01-01,1993,1,Jan,"Cafes, restaurants and takeaway food services",917.8
1993-02-01,1993,2,Feb,"Cafes, restaurants and takeaway food services",838.1
1993-03-01,1993,3,Mar,"Cafes, restaurants and takeaway food services",869.8
1993-04-01,1993,4,Apr,"Cafes, restaurants and takeaway food services",862.1
1993-05-01,1993,5,May,"Cafes, restaurants and takeaway food services",852.1
1993-06-01,1993,6,Jun,"Cafes, restaurants and takeaway food services",827.6
1993-07-01,1993,7,Jul,"Cafes, restaurants and takeaway food services",882.3
1993-08-01,1993,8,Aug,"Cafes, restaurants and takeaway food services",866.9
1993-09-01,1993,9,Sep,"Cafes, restaurants and takeaway food services",904.9
1993-10-01,1993,10,Oct,"Cafes, restaurants and takeaway food services",931.2
1993-11-01,1993,11,Nov,"Cafes, restaurants and takeaway food services",963.0
1993-12-01,1993,12,Dec,"Cafes, restaurants and takeaway food services",1099.5
1994-01-01,1994,1,Jan,"Cafes, restaurants and takeaway food services",984.5
1994-02-01,1994,2,Feb,"Cafes, restaurants and takeaway food services",901.6
1994-03-01,1994,3,Mar,"Cafes, restaurants and takeaway food services",1015.2
1994-04-01,1994,4,Apr,"Cafes, restaurants and takeaway food services",939.1
1994-05-01,1994,5,May,"Cafes, restaurants and takeaway food services",941.4
1994-06-01,1994,6,Jun,"Cafes, restaurants and takeaway food services",934.8
1994-07-01,1994,7,Jul,"Cafes, restaurants and takeaway food services",1013.3
1994-08-01,1994,8,Aug,"Cafes, restaurants and takeaway food services",1017.5
1994-09-01,1994,9,Sep,"Cafes, restaurants and takeaway food services",1040.7
1994-10-01,1994,10,Oct,"Cafes, restaurants and takeaway food services",1061.8
1994-11-01,1994,11,Nov,"Cafes, restaurants and takeaway food services",1070.2
1994-12-01,1994,12,Dec,"Cafes, restaurants and takeaway food services",1188.3
1995-01-01,1995,1,Jan,"Cafes, restaurants and takeaway food services",1076.3
1995-02-01,1995,2,Feb,"Cafes, restaurants and takeaway food services",981.6
1995-03-01,1995,3,Mar,"Cafes, restaurants and takeaway food services",1098.9
1995-04-01,1995,4,Apr,"Cafes, restaurants and takeaway food services",1067.8
1995-05-01,1995,5,May,"Cafes, restaurants and takeaway food services",1083.3
1995-06-01,1995,6,Jun,"Cafes, restaurants and takeaway food services",1045.0
1995-07-01,1995,7,Jul,"Cafes, restaurants and takeaway food services",1094.4
1995-08-01,1995,8,Aug,"Cafes, restaurants and takeaway food services",1109.7
1995-09-01,1995,9,Sep,"Cafes, restaurants and takeaway food services",1126.1
1995-10-01,1995,10,Oct,"Cafes, restaurants and takeaway food services",1166.5
1995-11-01,1995,11,Nov,"Cafes, restaurants and takeaway food services",1194.3
1995-12-01,1995,12,Dec,"Cafes, restaurants and takeaway food services",1314.7
1996-01-01,1996,1,Jan,"Cafes, restaurants and takeaway food services",1213.1
1996-02-01,1996,2,Feb,"Cafes, restaurants and takeaway food services",1128.0
1996-03-01,1996,3,Mar,"Cafes, restaurants and takeaway food services",1180.0
1996-04-01,1996,4,Apr,"Cafes, restaurants and takeaway food services",1169.3
1996-05-01,1996,5,May,"Cafes, restaurants and takeaway food services",1145.7
1996-06-01,1996,6,Jun,"Cafes, restaurants and takeaway food services",1109.0
1996-07-01,1996,7,Jul,"Cafes, restaurants and takeaway food services",1138.1
1996-08-01,1996,8,Aug,"Cafes, restaurants and takeaway food services",1145.7
1996-09-01,1996,9,Sep,"Cafes, restaurants and takeaway food services",1104.9
1996-10-01,1996,10,Oct,"Cafes, restaurants and takeaway food services",1142.2
1996-11-01,1996,11,Nov,"Cafes, restaurants and takeaway food services",1129.4
1996-12-01,1996,12,Dec,"Cafes, restaurants and takeaway food services",1230.8
1997-01-01,1997,1,Jan,"Cafes, restaurants and takeaway food services",1180.1
1997-02-01,1997,2,Feb,"Cafes, restaurants and takeaway food services",1059.5
1997-03-01,1997,3,Mar,"Cafes, restaurants and takeaway food services",1148.0
1997-04-01,1997,4,Apr,"Cafes, restaurants and takeaway food services",1141.3
1997-05-01,1997,5,May,"Cafes, restaurants and takeaway food services",1170.3
1997-06-01,1997,6,Jun,"Cafes, restaurants and takeaway food services",1113.5
1997-07-01,1997,7,Jul,"Cafes, restaurants and takeaway food services",1164.6
1997-08-01,1997,8,Aug,"Cafes, restaurants and takeaway food services",1173.3
1997-09-01,1997,9,Sep,"Cafes, restaurants and takeaway food services",1154.1
1997-10-01,1997,10,Oct,"Cafes, restaurants and takeaway food services",1204.8
1997-11-01,1997,11,Nov,"Cafes, restaurants and takeaway food services",1183.7
1997-12-01,1997,12,Dec,"Cafes, restaurants and takeaway food services",1306.7
1998-01-01,1998,1,Jan,"Cafes, restaurants and takeaway food services",1185.9
1998-02-01,1998,2,Feb,"Cafes, restaurants and takeaway food services",1050.0
1998-03-01,1998,3,Mar,"Cafes, restaurants and takeaway food services",1141.1
1998-04-01,1998,4,Apr,"Cafes, restaurants and takeaway food services",1106.7
1998-05-01,1998,5,May,"Cafes, restaurants and takeaway food services",1144.2
1998-06-01,1998,6,Jun,"Cafes, restaurants and takeaway food services",1088.2
1998-07-01,1998,7,Jul,"Cafes, restaurants and takeaway food services",1162.2
1998-08-01,1998,8,Aug,"Cafes, restaurants and takeaway food services",1144.8
1998-09-01,1998,9,Sep,"Cafes, restaurants and takeaway food services",1149.5
1998-10-01,1998,10,Oct,"Cafes, restaurants and takeaway food services",1258.6
1998-11-01,1998,11,Nov,"Cafes, restaurants and takeaway food services",1200.8
1998-12-01,1998,12,Dec,"Cafes, restaurants and takeaway food services",1310.2
1999-01-01,1999,1,Jan,"Cafes, restaurants and takeaway food services",1244.0
1999-02-01,1999,2,Feb,"Cafes, restaurants and takeaway food services",1124.4
1999-03-01,1999,3,Mar,"Cafes, restaurants and takeaway food services",1245.4
1999-04-01,1999,4,Apr,"Cafes, restaurants and takeaway food services",1236.0
1999-05-01,1999,5,May,"Cafes, restaurants and takeaway food services",1271.4
1999-06-01,1999,6,Jun,"Cafes, restaurants and takeaway food services",1208.0
1999-07-01,1999,7,Jul,"Cafes, restaurants and takeaway food services",1219.2
1999-08-01,1999,8,Aug,"Cafes, restaurants and takeaway food services",1233.6
1999-09-01,1999,9,Sep,"Cafes, restaurants and takeaway food services",1261.3
1999-10-01,1999,10,Oct,"Cafes, restaurants and takeaway food services",1314.4
1999-11-01,1999,11,Nov,"Cafes, restaurants and takeaway food services",1318.3
1999-12-01,1999,12,Dec,"Cafes, restaurants and takeaway food services",1455.3
2000-01-01,2000,1,Jan,"Cafes, restaurants and takeaway food services",1297.4
2000-02-01,2000,2,Feb,"Cafes, restaurants and takeaway food services",1206.7
2000-03-01,2000,3,Mar,"Cafes, restaurants and takeaway food services",1324.6
2000-04-01,2000,4,Apr,"Cafes, restaurants and takeaway food services",1252.5
2000-05-01,2000,5,May,"Cafes, restaurants and takeaway food services",1282.1
2000-06-01,2000,6,Jun,"Cafes, restaurants and takeaway food services",1274.7
2000-07-01,2000,7,Jul,"Cafes, restaurants and takeaway food services",1317.9
2000-08-01,2000,8,Aug,"Cafes, restaurants and takeaway food services",1328.8
2000-09-01,2000,9,Sep,"Cafes, restaurants and takeaway food services",1432.4
2000-10-01,2000,10,Oct,"Cafes, restaurants and takeaway food services",1460.8
2000-11-01,2000,11,Nov,"Cafes, restaurants and takeaway food services",1416.3
2000-12-01,2000,12,Dec,"Cafes, restaurants and takeaway food services",1538.6
2001-01-01,2001,1,Jan,"Cafes, restaurants and takeaway food services",1470.8
2001-02-01,2001,2,Feb,"Cafes, restaurants and takeaway food services",1338.0
2001-03-01,2001,3,Mar,"Cafes, restaurants and takeaway food services",1521.2
2001-04-01,2001,4,Apr,"Cafes, restaurants and takeaway food services",1441.3
2001-05-01,2001,5,May,"Cafes, restaurants and takeaway food services",1446.1
2001-06-01,2001,6,Jun,"Cafes, restaurants and takeaway food services",1397.6
2001-07-01,2001,7,Jul,"Cafes, restaurants and takeaway food services",1477.4
2001-08-01,2001,8,Aug,"Cafes, restaurants and takeaway food services",1504.6
2001-09-01,2001,9,Sep,"Cafes, restaurants and takeaway food services",1437.2
2001-10-01,2001,10,Oct,"Cafes, restaurants and takeaway food services",1488.5
2001-11-01,2001,11,Nov,"Cafes, restaurants and takeaway food services",1482.9
2001-12-01,2001,12,Dec,"Cafes, restaurants and takeaway food services",1611.4
2002-01-01,2002,1,Jan,"Cafes, restaurants and takeaway food services",1482.1
2002-02-01,2002,2,Feb,"Cafes, restaurants and takeaway food services",1329.8
2002-03-01,2002,3,Mar,"Cafes, restaurants and takeaway food services",1478.9
2002-04-01,2002,4,Apr,"Cafes, restaurants and takeaway food services",1460.4
2002-05-01,2002,5,May,"Cafes, restaurants and takeaway food services",1481.9
2002-06-01,2002,6,Jun,"Cafes, restaurants and takeaway food services",1424.9
2002-07-01,2002,7,Jul,"Cafes, restaurants and takeaway food services",1527.3
2002-08-01,2002,8,Aug,"Cafes, restaurants and takeaway food services",1551.6
2002-09-01,2002,9,Sep,"Cafes, restaurants and takeaway food services",1495.1
2002-10-01,2002,10,Oct,"Cafes, restaurants and takeaway food services",1556.6
2002-11-01,2002,11,Nov,"Cafes, restaurants and takeaway food services",1571.9
2002-12-01,2002,12,Dec,"Cafes, restaurants and takeaway food services",1734.0
2003-01-01,2003,1,Jan,"Cafes, restaurants and takeaway food services",1620.4
2003-02-01,2003,2,Feb,"Cafes, restaurants and takeaway food services",1421.8
2003-03-01,2003,3,Mar,"Cafes, restaurants and takeaway food services",1574.2
2003-04-01,2003,4,Apr,"Cafes, restaurants and takeaway food services",1589.1
2003-05-01,2003,5,May,"Cafes, restaurants and takeaway food services",1657.4
2003-06-01,2003,6,Jun,"Cafes, restaurants and takeaway food services",1554.2
2003-07-01,2003,7,Jul,"Cafes, restaurants and takeaway food services",1699.4
2003-08-01,2003,8,Aug,"Cafes, restaurants and takeaway food services",1737.8
2003-09-01,2003,9,Sep,"Cafes, restaurants and takeaway food services",1709.4
2003-10-01,2003,10,Oct,"Cafes, restaurants and takeaway food services",1878.4
2003-11-01,2003,11,Nov,"Cafes, restaurants and takeaway food services",1838.4
2003-12-01,2003,12,Dec,"Cafes, restaurants and takeaway food services",2048.3
2004-01-01,2004,1,Jan,"Cafes, restaurants and takeaway food services",1895.2
2004-02-01,2004,2,Feb,"Cafes, restaurants and takeaway food services",1765.8
2004-03-01,2004,3,Mar,"Cafes, restaurants and takeaway food services",1872.8
2004-04-01,2004,4,Apr,"Cafes, restaurants and takeaway food services",1873.7
2004-05-01,2004,5,May,"Cafes, restaurants and takeaway food services",1846.2
2004-06-01,2004,6,Jun,"Cafes, restaurants and takeaway food services",1758.5
2004-07-01,2004,7,Jul,"Cafes, restaurants and takeaway food services",1878.2
2004-08-01,2004,8,Aug,"Cafes, restaurants and takeaway food services",1850.1
2004-09-01,2004,9,Sep,"Cafes, restaurants and takeaway food services",1921.5
2004-10-01,2004,10,Oct,"Cafes, restaurants and takeaway food services",1914.5
2004-11-01,2004,11,Nov,"Cafes, restaurants and takeaway food services",1839.9
2004-12-01,2004,12,Dec,"Cafes, restaurants and takeaway food services",2041.9
2005-01-01,2005,1,Jan,"Cafes, restaurants and takeaway food services",1798.7
2005-02-01,2005,2,Feb,"Cafes, restaurants and takeaway food services",1661.2
2005-03-01,2005,3,Mar,"Cafes, restaurants and takeaway food services",1780.3
2005-04-01,2005,4,Apr,"Cafes, restaurants and takeaway food services",1809.0
2005-05-01,2005,5,May,"Cafes, restaurants and takeaway food services",1788.9
2005-06-01,2005,6,Jun,"Cafes, restaurants and takeaway food services",1768.9
2005-07-01,2005,7,Jul,"Cafes, restaurants and takeaway food services",1869.0
2005-08-01,2005,8,Aug,"Cafes, restaurants and takeaway food services",1813.4
2005-09-01,2005,9,Sep,"Cafes, restaurants and takeaway food services",1845.8
2005-10-01,2005,10,Oct,"Cafes, restaurants and takeaway food services",1978.1
2005-11-01,2005,11,Nov,"Cafes, restaurants and takeaway food services",1965.0
2005-12-01,2005,12,Dec,"Cafes, restaurants and takeaway food services",2152.8
2006-01-01,2006,1,Jan,"Cafes, restaurants and takeaway food services",1913.8
2006-02-01,2006,2,Feb,"Cafes, restaurants and takeaway food services",1750.1
2006-03-01,2006,3,Mar,"Cafes, restaurants and takeaway food services",1983.8
2006-04-01,2006,4,Apr,"Cafes, restaurants and takeaway food services",1966.5
2006-05-01,2006,5,May,"Cafes, restaurants and takeaway food services",2005.1
2006-06-01,2006,6,Jun,"Cafes, restaurants and takeaway food services",1943.6
2006-07-01,2006,7,Jul,"Cafes, restaurants and takeaway food services",2019.2
2006-08-01,2006,8,Aug,"Cafes, restaurants and takeaway food services",2043.2
2006-09-01,2006,9,Sep,"Cafes, restaurants and takeaway food services",2038.7
2006-10-01,2006,10,Oct,"Cafes, restaurants and takeaway food services",2113.3
2006-11-01,2006,11,Nov,"Cafes, restaurants and takeaway food services",2109.4
2006-12-01,2006,12,Dec,"Cafes, restaurants and takeaway food services",2297.3
