date,year,month,month_name,quarter,fy_year,fy_label
1992-02-01,1992,2,Feb,1,1991,FY91/92
1992-03-01,1992,3,Mar,1,1991,FY91/92
1992-04-01,1992,4,Apr,2,1991,FY91/92
1992-05-01,1992,5,May,2,1991,FY91/92
1992-06-01,1992,6,Jun,2,1991,FY91/92
1992-07-01,1992,7,Jul,3,1992,FY92/93
1992-08-01,1992,8,Aug,3,1992,FY92/93
1992-09-01,1992,9,Sep,3,1992,FY92/93
1992-10-01,1992,10,Oct,4,1992,FY92/93
1992-11-01,1992,11,Nov,4,1992,FY92/93
1992-12-01,1992,12,Dec,4,1992,FY92/93
1993-01-01,1993,1,Jan,1,1992,FY92/93
1993-02-01,1993,2,Feb,1,1992,FY92/93
1993-03-01,1993,3,Mar,1,1992,FY92/93
1993-04-01,1993,4,Apr,2,1992,FY92/93
1993-05-01,1993,5,May,2,1992,FY92/93
1993-06-01,1993,6,Jun,2,1992,FY92/93
1993-07-01,1993,7,Jul,3,1993,FY93/94
1993-08-01,1993,8,Aug,3,1993,FY93/94
1993-09-01,1993,9,Sep,3,1993,FY93/94
1993-10-01,1993,10,Oct,4,1993,FY93/94
1993-11-01,1993,11,Nov,4,1993,FY93/94
1993-12-01,1993,12,Dec,4,1993,FY93/94
1994-01-01,1994,1,Jan,1,1993,FY93/94
1994-02-01,1994,2,Feb,1,1993,FY93/94
1994-03-01,1994,3,Mar,1,1993,FY93/94
1994-04-01,1994,4,Apr,2,1993,FY93/94
1994-05-01,1994,5,May,2,1993,FY93/94
1994-06-01,1994,6,Jun,2,1993,FY93/94
1994-07-01,1994,7,Jul,3,1994,FY94/95
1994-08-01,1994,8,Aug,3,1994,FY94/95
1994-09-01,1994,9,Sep,3,1994,FY94/95
1994-10-01,1994,10,Oct,4,1994,FY94/95
1994-11-01,1994,11,Nov,4,1994,FY94/95
1994-12-01,1994,12,Dec,4,1994,FY94/95
1995-01-01,1995,1,Jan,1,1994,FY94/95
1995-02-01,1995,2,Feb,1,1994,FY94/95
1995-03-01,1995,3,Mar,1,1994,FY94/95
1995-04-01,1995,4,Apr,2,1994,FY94/95
1995-05-01,1995,5,May,2,1994,FY94/95
1995-06-01,1995,6,Jun,2,1994,FY94/95
1995-07-01,1995,7,Jul,3,1995,FY95/96
1995-08-01,1995,8,Aug,3,1995,FY95/96
1995-09-01,1995,9,Sep,3,1995,FY95/96
1995-10-01,1995,10,Oct,4,1995,FY95/96
1995-11-01,1995,11,Nov,4,1995,FY95/96
1995-12-01,1995,12,Dec,4,1995,FY95/96
1996-01-01,1996,1,Jan,1,1995,FY95/96
1996-02-01,1996,2,Feb,1,1995,FY95/96
1996-03-01,1996,3,Mar,1,1995,FY95/96
1996-04-01,1996,4,Apr,2,1995,FY95/96
1996-05-01,1996,5,May,2,1995,FY95/96
1996-06-01,1996,6,Jun,2,1995,FY95/96
1996-07-01,1996,7,Jul,3,1996,FY96/97
1996-08-01,1996,8,Aug,3,1996,FY96/97
1996-09-01,1996,9,Sep,3,1996,FY96/97
1996-10-01,1996,10,Oct,4,1996,FY96/97
1996-11-01,1996,11,Nov,4,1996,FY96/97
1996-12-01,1996,12,Dec,4,1996,FY96/97
1997-01-01,1997,1,Jan,1,1996,FY96/97
1997-02-01,1997,2,Feb,1,1996,FY96/97
1997-03-01,1997,3,Mar,1,1996,FY96/97
1997-04-01,1997,4,Apr,2,1996,FY96/97
1997-05-01,1997,5,May,2,1996,FY96/97
1997-06-01,1997,6,Jun,2,1996,FY96/97
1997-07-01,1997,7,Jul,3,1997,FY97/98
1997-08-01,1997,8,Aug,3,1997,FY97/98
1997-09-01,1997,9,Sep,3,1997,FY97/98
1997-10-01,1997,10,Oct,4,1997,FY97/98
1997-11-01,1997,11,Nov,4,1997,FY97/98
1997-12-01,1997,12,Dec,4,1997,FY97/98
1998-01-01,1998,1,Jan,1,1997,FY97/98
1998-02-01,1998,2,Feb,1,1997,FY97/98
1998-03-01,1998,3,Mar,1,1997,FY97/98
1998-04-01,1998,4,Apr,2,1997,FY97/98
1998-05-01,1998,5,May,2,1997,FY97/98
1998-06-01,1998,6,Jun,2,1997,FY97/98
1998-07-01,1998,7,Jul,3,1998,FY98/99
1998-08-01,1998,8,Aug,3,1998,FY98/99
1998-09-01,1998,9,Sep,3,1998,FY98/99
1998-10-01,1998,10,Oct,4,1998,FY98/99
1998-11-01,1998,11,Nov,4,1998,FY98/99
1998-12-01,1998,12,Dec,4,1998,FY98/99
1999-01-01,1999,1,Jan,1,1998,FY98/99
1999-02-01,1999,2,Feb,1,1998,FY98/99
1999-03-01,1999,3,Mar,1,1998,FY98/99
1999-04-01,1999,4,Apr,2,1998,FY98/99
1999-05-01,1999,5,May,2,1998,FY98/99
1999-06-01,1999,6,Jun,2,1998,FY98/99
1999-07-01,1999,7,Jul,3,1999,FY99/00
1999-08-01,1999,8,Aug,3,1999,FY99/00
1999-09-01,1999,9,Sep,3,1999,FY99/00
1999-10-01,1999,10,Oct,4,1999,FY99/00
1999-11-01,1999,11,Nov,4,1999,FY99/00
1999-12-01,1999,12,Dec,4,1999,FY99/00
2000-01-01,2000,1,Jan,1,1999,FY99/00
2000-02-01,2000,2,Feb,1,1999,FY99/00
2000-03-01,2000,3,Mar,1,1999,FY99/00
2000-04-01,2000,4,Apr,2,1999,FY99/00
2000-05-01,2000,5,May,2,1999,FY99/00
2000-06-01,2000,6,Jun,2,1999,FY99/00
2000-07-01,2000,7,Jul,3,2000,FY00/01
2000-08-01,2000,8,Aug,3,2000,FY00/01
2000-09-01,2000,9,Sep,3,2000,FY00/01
2000-10-01,2000,10,Oct,4,2000,FY00/01
2000-11-01,2000,11,Nov,4,2000,FY00/01
2000-12-01,2000,12,Dec,4,2000,FY00/01
2001-01-01,2001,1,Jan,1,2000,FY00/01
2001-02-01,2001,2,Feb,1,2000,FY00/01
2001-03-01,2001,3,Mar,1,2000,FY00/01
2001-04-01,2001,4,Apr,2,2000,FY00/01
2001-05-01,2001,5,May,2,2000,FY00/01
2001-06-01,2001,6,Jun,2,2000,FY00/01
2001-07-01,2001,7,Jul,3,2001,FY01/02
2001-08-01,2001,8,Aug,3,2001,FY01/02
2001-09-01,2001,9,Sep,3,2001,FY01/02
2001-10-01,2001,10,Oct,4,2001,FY01/02
2001-11-01,2001,11,Nov,4,2001,FY01/02
2001-12-01,2001,12,Dec,4,2001,FY01/02
2002-01-01,2002,1,Jan,1,2001,FY01/02
2002-02-01,2002,2,Feb,1,2001,FY01/02
2002-03-01,2002,3,Mar,1,2001,FY01/02
2002-04-01,2002,4,Apr,2,2001,FY01/02
2002-05-01,2002,5,May,2,2001,FY01/02
2002-06-01,2002,6,Jun,2,2001,FY01/02
2002-07-01,2002,7,Jul,3,2002,FY02/03
2002-08-01,2002,8,Aug,3,2002,FY02/03
2002-09-01,2002,9,Sep,3,2002,FY02/03
2002-10-01,2002,10,Oct,4,2002,FY02/03
2002-11-01,2002,11,Nov,4,2002,FY02/03
2002-12-01,2002,12,Dec,4,2002,FY02/03
2003-01-01,2003,1,Jan,1,2002,FY02/03
2003-02-01,2003,2,Feb,1,2002,FY02/03
2003-03-01,2003,3,Mar,1,2002,FY02/03
2003-04-01,2003,4,Apr,2,2002,FY02/03
2003-05-01,2003,5,May,2,2002,FY02/03
2003-06-01,2003,6,Jun,2,2002,FY02/03
2003-07-01,2003,7,Jul,3,2003,FY03/04
2003-08-01,2003,8,Aug,3,2003,FY03/04
2003-09-01,2003,9,Sep,3,2003,FY03/04
2003-10-01,2003,10,Oct,4,2003,FY03/04
2003-11-01,2003,11,Nov,4,2003,FY03/04
2003-12-01,2003,12,Dec,4,2003,FY03/04
2004-01-01,2004,1,Jan,1,2003,FY03/04
2004-02-01,2004,2,Feb,1,2003,FY03/04
2004-03-01,2004,3,Mar,1,2003,FY03/04
2004-04-01,2004,4,Apr,2,2003,FY03/04
2004-05-01,2004,5,May,2,2003,FY03/04
2004-06-01,2004,6,Jun,2,2003,FY03/04
2004-07-01,2004,7,Jul,3,2004,FY04/05
2004-08-01,2004,8,Aug,3,2004,FY04/05
2004-09-01,2004,9,Sep,3,2004,FY04/05
2004-10-01,2004,10,Oct,4,2004,FY04/05
2004-11-01,2004,11,Nov,4,2004,FY04/05
2004-12-01,2004,12,Dec,4,2004,FY04/05
2005-01-01,2005,1,Jan,1,2004,FY04/05
2005-02-01,2005,2,Feb,1,2004,FY04/05
2005-03-01,2005,3,Mar,1,2004,FY04/05
2005-04-01,2005,4,Apr,2,2004,FY04/05
2005-05-01,2005,5,May,2,2004,FY04/05
2005-06-01,2005,6,Jun,2,2004,FY04/05
2005-07-01,2005,7,Jul,3,2005,FY05/06
2005-08-01,2005,8,Aug,3,2005,FY05/06
2005-09-01,2005,9,Sep,3,2005,FY05/06
2005-10-01,2005,10,Oct,4,2005,FY05/06
2005-11-01,2005,11,Nov,4,2005,FY05/06
2005-12-01,2005,12,Dec,4,2005,FY05/06
2006-01-01,2006,1,Jan,1,2005,FY05/06
2006-02-01,2006,2,Feb,1,2005,FY05/06
2006-03-01,2006,3,Mar,1,2005,FY05/06
2006-04-01,2006,4,Apr,2,2005,FY05/06
2006-05-01,2006,5,May,2,2005,FY05/06
2006-06-01,2006,6,Jun,2,2005,FY05/06
2006-07-01,2006,7,Jul,3,2006,FY06/07
2006-08-01,2006,8,Aug,3,2006,FY06/07
2006-09-01,2006,9,Sep,3,2006,FY06/07
2006-10-01,2006,10,Oct,4,2006,FY06/07
2006-11-01,2006,11,Nov,4,2006,FY06/07
2006-12-01,2006,12,Dec,4,2006,FY06/07
2007-01-01,2007,1,Jan,1,2006,FY06/07
2007-02-01,2007,2,Feb,1,2006,FY06/07
2007-03-01,2007,3,Mar,1,2006,FY06/07
2007-04-01,2007,4,Apr,2,2006,FY06/07
2007-05-01,2007,5,May,2,2006,FY06/07
